method,action,modality,detector,far_at_frr5,eer_test
pyclick,pinch,trajectory_xytime,paper_xgboost,0.169250,0.103526
pyclick,scroll,trajectory_xytime,authconformer,0.027000,0.032000
pyclick,scroll,trajectory_xytime,behaveformer_stdat,0.011000,0.022000
pyclick,scroll,trajectory_xytime,hmog_style_rf,0.138500,0.089375
pyclick,scroll,trajectory_xytime,hmog_style_svm,0.307750,0.153875
pyclick,scroll,trajectory_xytime,paper_svm,0.234000,0.101500
pyclick,scroll,trajectory_xytime,paper_xgboost,0.141750,0.076000
pyclick,swipe,trajectory_xytime,authconformer,0.025250,0.035125
pyclick,swipe,trajectory_xytime,behaveformer_stdat,0.013000,0.021500
pyclick,swipe,trajectory_xytime,hmog_style_rf,0.150250,0.093000
pyclick,swipe,trajectory_xytime,hmog_style_svm,0.276750,0.113500
pyclick,swipe,trajectory_xytime,paper_svm,0.226750,0.112375
pyclick,swipe,trajectory_xytime,paper_xgboost,0.147000,0.088500
pyclick,tap,trajectory_xytime,authconformer,0.708500,0.364717
pyclick,tap,trajectory_xytime,behaveformer_stdat,0.705500,0.348184
pyclick,tap,trajectory_xytime,hmog_style_rf,0.635000,0.322478
pyclick,tap,trajectory_xytime,hmog_style_svm,0.678500,0.341700
pyclick,tap,trajectory_xytime,paper_svm,0.706250,0.354188
pyclick,tap,trajectory_xytime,paper_xgboost,0.689250,0.329212
ghostcursor,pinch,trajectory_xytime,authconformer,0.000750,0.011503
ghostcursor,pinch,trajectory_xytime,behaveformer_stdat,0.002250,0.008002
ghostcursor,pinch,trajectory_xytime,hmog_style_rf,0.070750,0.054014
ghostcursor,pinch,trajectory_xytime,hmog_style_svm,0.506500,0.144536
ghostcursor,pinch,trajectory_xytime,paper_svm,0.456500,0.167542
ghostcursor,pinch,trajectory_xytime,paper_xgboost,0.012500,0.033508
ghostcursor,scroll,trajectory_xytime,authconformer,0.003500,0.013000
ghostcursor,scroll,trajectory_xytime,behaveformer_stdat,0.009500,0.018000
ghostcursor,scroll,trajectory_xytime,hmog_style_rf,0.122250,0.083875
ghostcursor,scroll,trajectory_xytime,hmog_style_svm,0.390500,0.146875
ghostcursor,scroll,trajectory_xytime,paper_svm,0.335000,0.128500
ghostcursor,scroll,trajectory_xytime,paper_xgboost,0.058000,0.064500
ghostcursor,swipe,trajectory_xytime,authconformer,0.006000,0.020875
ghostcursor,swipe,trajectory_xytime,behaveformer_stdat,0.010500,0.017375
ghostcursor,swipe,trajectory_xytime,hmog_style_rf,0.128250,0.087000
ghostcursor,swipe,trajectory_xytime,hmog_style_svm,0.435500,0.162500
ghostcursor,swipe,trajectory_xytime,paper_svm,0.416500,0.150500
ghostcursor,swipe,trajectory_xytime,paper_xgboost,0.098750,0.083875
ghostcursor,tap,trajectory_xytime,authconformer,0.926500,0.410019
ghostcursor,tap,trajectory_xytime,behaveformer_stdat,0.872500,0.410019
ghostcursor,tap,trajectory_xytime,hmog_style_rf,0.797500,0.363737
ghostcursor,tap,trajectory_xytime,hmog_style_svm,0.773250,0.380874
ghostcursor,tap,trajectory_xytime,paper_svm,0.823500,0.407935
ghostcursor,tap,trajectory_xytime,paper_xgboost,0.791250,0.373285
control_genuine,keystroke,imu_only,authconformer,0.925750,0.511647
control_genuine,keystroke,imu_only,behaveformer_stdat,0.933500,0.505189
control_genuine,keystroke,imu_only,hmog_style_rf,0.501500,0.361519
control_genuine,keystroke,imu_only,hmog_style_svm,0.862000,0.414936
control_genuine,keystroke,imu_only,paper_svm,0.813500,0.380000
control_genuine,keystroke,imu_only,paper_xgboost,0.419250,0.318481
control_genuine,pinch,imu_only,authconformer,0.963250,0.533758
control_genuine,pinch,imu_only,behaveformer_stdat,0.913500,0.507877
control_genuine,pinch,imu_only,hmog_style_rf,0.477500,0.349587
control_genuine,pinch,imu_only,hmog_style_svm,0.899000,0.526257
control_genuine,pinch,imu_only,paper_svm,0.831250,0.470243
control_genuine,pinch,imu_only,paper_xgboost,0.656750,0.408102
control_genuine,scroll,imu_only,authconformer,0.535750,0.295375
control_genuine,scroll,imu_only,behaveformer_stdat,0.961000,0.519000
control_genuine,scroll,imu_only,hmog_style_rf,0.487250,0.320000
control_genuine,scroll,imu_only,hmog_style_svm,0.938750,0.473000
control_genuine,scroll,imu_only,paper_svm,0.823750,0.409875
control_genuine,scroll,imu_only,paper_xgboost,0.603250,0.344000
control_genuine,swipe,imu_only,authconformer,0.473000,0.246000
control_genuine,swipe,imu_only,behaveformer_stdat,0.832750,0.414000
control_genuine,swipe,imu_only,hmog_style_rf,0.438500,0.312500
control_genuine,swipe,imu_only,hmog_style_svm,0.855750,0.464500
control_genuine,swipe,imu_only,paper_svm,0.732250,0.414500
control_genuine,swipe,imu_only,paper_xgboost,0.550500,0.329500
control_genuine,tap,imu_only,authconformer,0.949750,0.574073
control_genuine,tap,imu_only,behaveformer_stdat,0.971000,0.537589
control_genuine,tap,imu_only,hmog_style_rf,0.990000,0.819414
control_genuine,tap,imu_only,hmog_style_svm,0.925500,0.469395
control_genuine,tap,imu_only,paper_svm,0.964000,0.545053
control_genuine,tap,imu_only,paper_xgboost,0.961750,0.631614
